#:m      eta      Q
0.004950 0.004950 -0.000000 
0.014850 0.004950 0.000000 
0.024750 0.004950 0.000000 
0.034650 0.004950 0.000000 
0.044550 0.004950 0.000000 
0.054450 0.004950 0.000000 
0.064350 0.004950 0.000000 
0.074250 0.004950 0.000000 
0.084150 0.004950 0.000000 
0.094050 0.004950 0.000000 
0.103950 0.004950 0.000000 
0.113850 0.004950 0.000000 
0.123750 0.004950 0.000000 
0.133650 0.004950 0.000000 
0.143550 0.004950 0.000000 
0.153450 0.004950 0.000000 
0.163350 0.004950 0.000000 
0.173250 0.004950 0.000000 
0.183150 0.004950 0.000000 
0.193050 0.004950 0.000000 
0.202950 0.004950 0.000000 
0.212850 0.004950 0.000000 
0.222750 0.004950 0.000000 
0.232650 0.004950 0.000000 
0.242550 0.004950 0.000000 
0.252450 0.004950 0.000000 
0.262350 0.004950 0.000000 
0.272250 0.004950 0.000000 
0.282150 0.004950 0.000000 
0.292050 0.004950 0.000000 
0.301950 0.004950 0.000000 
0.311850 0.004950 0.000000 
0.321750 0.004950 0.000000 
0.331650 0.004950 0.000000 
0.341550 0.004950 0.000000 
0.351450 0.004950 0.000000 
0.361350 0.004950 0.000000 
0.371250 0.004950 0.000000 
0.381150 0.004950 0.000000 
0.391050 0.004950 0.000000 
0.400950 0.004950 0.000000 
0.410850 0.004950 0.000000 
0.420750 0.004950 0.000000 
0.430650 0.004950 0.000000 
0.440550 0.004950 0.000000 
0.450450 0.004950 0.000000 
0.460350 0.004950 0.000000 
0.470250 0.004950 0.000000 
0.480150 0.004950 0.000000 
0.490050 0.004950 0.000000 
0.499950 0.004950 0.000000 
0.509850 0.004950 0.000000 
0.519750 0.004950 0.000000 
0.529650 0.004950 0.000000 
0.539550 0.004950 0.000000 
0.549450 0.004950 0.000000 
0.559350 0.004950 0.000000 
0.569250 0.004950 0.000000 
0.579150 0.004950 0.000000 
0.589050 0.004950 0.000000 
0.598950 0.004950 0.000000 
0.608850 0.004950 0.000000 
0.618750 0.004950 0.000000 
0.628650 0.004950 0.000000 
0.638550 0.004950 0.000000 
0.648450 0.004950 0.000000 
0.658350 0.004950 0.000000 
0.668250 0.004950 0.000000 
0.678150 0.004950 0.000000 
0.688050 0.004950 0.000000 
0.697950 0.004950 0.000000 
0.707850 0.004950 0.000000 
0.717750 0.004950 0.000000 
0.727650 0.004950 0.000000 
0.737550 0.004950 0.000000 
0.747450 0.004950 0.000000 
0.757350 0.004950 0.000000 
0.767250 0.004950 0.000000 
0.777150 0.004950 0.000000 
0.787050 0.004950 0.000000 
0.796950 0.004950 0.000000 
0.806850 0.004950 0.000000 
0.816750 0.004950 0.000000 
0.826650 0.004950 0.000000 
0.836550 0.004950 0.000000 
0.846450 0.004950 0.000000 
0.856350 0.004950 0.000000 
0.866250 0.004950 0.000000 
0.876150 0.004950 0.000000 
0.886050 0.004950 0.000000 
0.895950 0.004950 0.000000 
0.905850 0.004950 0.000000 
0.915750 0.004950 0.000000 
0.925650 0.004950 0.000000 
0.935550 0.004950 0.000000 
0.945450 0.004950 0.000000 
0.955350 0.004950 0.000000 
0.965250 0.004950 0.000000 
0.975150 0.004950 0.000000 
0.985050 0.004950 0.000000 

0.004950 0.014850 -0.000065 
0.014850 0.014850 -0.000129 
0.024750 0.014850 -0.000322 
0.034650 0.014850 -0.000643 
0.044550 0.014850 -0.001094 
0.054450 0.014850 -0.001676 
0.064350 0.014850 -0.002391 
0.074250 0.014850 -0.003241 
0.084150 0.014850 -0.004228 
0.094050 0.014850 -0.005356 
0.103950 0.014850 0.000000 
0.113850 0.014850 0.000000 
0.123750 0.014850 0.000000 
0.133650 0.014850 0.000000 
0.143550 0.014850 0.000000 
0.153450 0.014850 0.000000 
0.163350 0.014850 0.000000 
0.173250 0.014850 0.000000 
0.183150 0.014850 0.000000 
0.193050 0.014850 0.000000 
0.202950 0.014850 0.000000 
0.212850 0.014850 0.000000 
0.222750 0.014850 0.000000 
0.232650 0.014850 0.000000 
0.242550 0.014850 0.000000 
0.252450 0.014850 0.000000 
0.262350 0.014850 0.000000 
0.272250 0.014850 0.000000 
0.282150 0.014850 0.000000 
0.292050 0.014850 0.000000 
0.301950 0.014850 0.000000 
0.311850 0.014850 0.000000 
0.321750 0.014850 0.000000 
0.331650 0.014850 0.000000 
0.341550 0.014850 0.000000 
0.351450 0.014850 0.000000 
0.361350 0.014850 0.000000 
0.371250 0.014850 0.000000 
0.381150 0.014850 0.000000 
0.391050 0.014850 0.000000 
0.400950 0.014850 0.000000 
0.410850 0.014850 0.000000 
0.420750 0.014850 0.000000 
0.430650 0.014850 0.000000 
0.440550 0.014850 0.000000 
0.450450 0.014850 0.000000 
0.460350 0.014850 0.000000 
0.470250 0.014850 0.000000 
0.480150 0.014850 0.000000 
0.490050 0.014850 0.000000 
0.499950 0.014850 0.000000 
0.509850 0.014850 0.000000 
0.519750 0.014850 0.000000 
0.529650 0.014850 0.000000 
0.539550 0.014850 0.000000 
0.549450 0.014850 0.000000 
0.559350 0.014850 0.000000 
0.569250 0.014850 0.000000 
0.579150 0.014850 0.000000 
0.589050 0.014850 0.000000 
0.598950 0.014850 0.000000 
0.608850 0.014850 0.000000 
0.618750 0.014850 0.000000 
0.628650 0.014850 0.000000 
0.638550 0.014850 0.000000 
0.648450 0.014850 0.000000 
0.658350 0.014850 0.000000 
0.668250 0.014850 0.000000 
0.678150 0.014850 0.000000 
0.688050 0.014850 0.000000 
0.697950 0.014850 0.000000 
0.707850 0.014850 0.000000 
0.717750 0.014850 0.000000 
0.727650 0.014850 0.000000 
0.737550 0.014850 0.000000 
0.747450 0.014850 0.000000 
0.757350 0.014850 0.000000 
0.767250 0.014850 0.000000 
0.777150 0.014850 0.000000 
0.787050 0.014850 0.000000 
0.796950 0.014850 0.000000 
0.806850 0.014850 0.000000 
0.816750 0.014850 0.000000 
0.826650 0.014850 0.000000 
0.836550 0.014850 0.000000 
0.846450 0.014850 0.000000 
0.856350 0.014850 0.000000 
0.866250 0.014850 0.000000 
0.876150 0.014850 0.000000 
0.886050 0.014850 0.000000 
0.895950 0.014850 0.000000 
0.905850 0.014850 0.000000 
0.915750 0.014850 0.000000 
0.925650 0.014850 0.000000 
0.935550 0.014850 0.000000 
0.945450 0.014850 0.000000 
0.955350 0.014850 0.000000 
0.965250 0.014850 0.000000 
0.975150 0.014850 0.000000 
0.985050 0.014850 0.000000 

0.004950 0.024750 -0.000256 
0.014850 0.024750 -0.000318 
0.024750 0.024750 -0.000503 
0.034650 0.024750 -0.000812 
0.044550 0.024750 -0.001245 
0.054450 0.024750 -0.001804 
0.064350 0.024750 -0.002491 
0.074250 0.024750 -0.003308 
0.084150 0.024750 -0.004256 
0.094050 0.024750 -0.005339 
0.103950 0.024750 -0.006560 
0.113850 0.024750 -0.007922 
0.123750 0.024750 -0.009430 
0.133650 0.024750 -0.011088 
0.143550 0.024750 -0.012902 
0.153450 0.024750 0.000000 
0.163350 0.024750 0.000000 
0.173250 0.024750 0.000000 
0.183150 0.024750 0.000000 
0.193050 0.024750 0.000000 
0.202950 0.024750 0.000000 
0.212850 0.024750 0.000000 
0.222750 0.024750 0.000000 
0.232650 0.024750 0.000000 
0.242550 0.024750 0.000000 
0.252450 0.024750 0.000000 
0.262350 0.024750 0.000000 
0.272250 0.024750 0.000000 
0.282150 0.024750 0.000000 
0.292050 0.024750 0.000000 
0.301950 0.024750 0.000000 
0.311850 0.024750 0.000000 
0.321750 0.024750 0.000000 
0.331650 0.024750 0.000000 
0.341550 0.024750 0.000000 
0.351450 0.024750 0.000000 
0.361350 0.024750 0.000000 
0.371250 0.024750 0.000000 
0.381150 0.024750 0.000000 
0.391050 0.024750 0.000000 
0.400950 0.024750 0.000000 
0.410850 0.024750 0.000000 
0.420750 0.024750 0.000000 
0.430650 0.024750 0.000000 
0.440550 0.024750 0.000000 
0.450450 0.024750 0.000000 
0.460350 0.024750 0.000000 
0.470250 0.024750 0.000000 
0.480150 0.024750 0.000000 
0.490050 0.024750 0.000000 
0.499950 0.024750 0.000000 
0.509850 0.024750 0.000000 
0.519750 0.024750 0.000000 
0.529650 0.024750 0.000000 
0.539550 0.024750 0.000000 
0.549450 0.024750 0.000000 
0.559350 0.024750 0.000000 
0.569250 0.024750 0.000000 
0.579150 0.024750 0.000000 
0.589050 0.024750 0.000000 
0.598950 0.024750 0.000000 
0.608850 0.024750 0.000000 
0.618750 0.024750 0.000000 
0.628650 0.024750 0.000000 
0.638550 0.024750 0.000000 
0.648450 0.024750 0.000000 
0.658350 0.024750 0.000000 
0.668250 0.024750 0.000000 
0.678150 0.024750 0.000000 
0.688050 0.024750 0.000000 
0.697950 0.024750 0.000000 
0.707850 0.024750 0.000000 
0.717750 0.024750 0.000000 
0.727650 0.024750 0.000000 
0.737550 0.024750 0.000000 
0.747450 0.024750 0.000000 
0.757350 0.024750 0.000000 
0.767250 0.024750 0.000000 
0.777150 0.024750 0.000000 
0.787050 0.024750 0.000000 
0.796950 0.024750 0.000000 
0.806850 0.024750 0.000000 
0.816750 0.024750 0.000000 
0.826650 0.024750 0.000000 
0.836550 0.024750 0.000000 
0.846450 0.024750 0.000000 
0.856350 0.024750 0.000000 
0.866250 0.024750 0.000000 
0.876150 0.024750 0.000000 
0.886050 0.024750 0.000000 
0.895950 0.024750 0.000000 
0.905850 0.024750 0.000000 
0.915750 0.024750 0.000000 
0.925650 0.024750 0.000000 
0.935550 0.024750 0.000000 
0.945450 0.024750 0.000000 
0.955350 0.024750 0.000000 
0.965250 0.024750 0.000000 
0.975150 0.024750 0.000000 
0.985050 0.024750 0.000000 

0.004950 0.034650 -0.000566 
0.014850 0.034650 -0.000625 
0.024750 0.034650 -0.000803 
0.034650 0.034650 -0.001099 
0.044550 0.034650 -0.001516 
0.054450 0.034650 -0.002053 
0.064350 0.034650 -0.002714 
0.074250 0.034650 -0.003498 
0.084150 0.034650 -0.004409 
0.094050 0.034650 -0.005450 
0.103950 0.034650 -0.006623 
0.113850 0.034650 -0.007931 
0.123750 0.034650 -0.009380 
0.133650 0.034650 -0.010972 
0.143550 0.034650 -0.012713 
0.153450 0.034650 -0.014609 
0.163350 0.034650 -0.016664 
0.173250 0.034650 -0.018887 
0.183150 0.034650 0.000000 
0.193050 0.034650 0.000000 
0.202950 0.034650 0.000000 
0.212850 0.034650 0.000000 
0.222750 0.034650 0.000000 
0.232650 0.034650 0.000000 
0.242550 0.034650 0.000000 
0.252450 0.034650 0.000000 
0.262350 0.034650 0.000000 
0.272250 0.034650 0.000000 
